tick,total_qps,avg_gpu_duty_cycle,active_genai_pods
0,0.0,0.20182648401826486,114
1,0.09,0.022506082725060828,114
2,0.36,2.1937478196406768,114
3,0.36,3.2250413654603145,114
4,0.63,3.124337887520482,114
5,0.36,3.195966383011527,114
6,2.4299999999999997,3.3872763529293666,114
7,1.7999999999999998,3.7741713907785335,114
8,1.44,2.935109882513006,114
9,7.694999999999999,6.411893065320717,114
10,6.5249999999999995,4.9708828522920205,114
11,12.375,5.472522447645078,114
12,18.465,9.829277858720792,114
13,21.795,9.688019095272777,114
14,23.94,11.3344655197472,114
15,24.69,10.390230158063606,114
16,19.32,9.571472426430928,114
17,21.21,10.398693396327667,114
18,19.29,9.581097087446752,114
19,33.165,12.25607205250102,114
20,26.505,12.667323455153472,114
21,23.055,12.293670296310188,114
22,27.54,14.549984645561183,114
23,34.65,15.875354296848293,114
24,35.925,19.02793565955383,114
25,32.67,18.893522223188974,114
26,33.36,15.760420302057119,114
27,39.315000000000005,15.079790144140713,114
28,29.34,13.79033281137905,114
29,31.485000000000003,14.051483680010465,114
30,40.29,16.636027450505832,114
31,28.14,12.990794266705297,113
32,29.025,14.778112749052088,114
33,36.39,16.95609971701262,114
34,38.205,13.755710717158621,114
35,29.805,14.408757063347132,114
36,27.810000000000002,13.955299285892073,114
37,33.15,15.468524659405443,114
38,29.43,11.604172362358852,114
39,21.87,10.375483142432754,114
40,25.995,13.243506962158591,114
41,21.585,10.954507997868696,114
42,31.305,11.740711934156378,114
43,35.055,15.056638876668885,114
44,28.815,14.391191498352407,114
45,22.71,10.089553234471328,114
46,35.595,12.87945699285993,114
47,19.665,9.95694768914258,114
48,8.79,6.0137245994956245,114
49,6.975,5.8839811237239825,114
50,3.6,5.079463185998096,114
51,6.57,5.456489236149771,114
52,3.06,4.982367790426328,114
53,1.8900000000000001,3.8038328928224137,114
54,4.14,4.6381923731743875,114
55,7.245,7.728946338239963,114
56,2.9699999999999998,5.744509231221426,114
57,9.645,7.047023760029065,114
58,10.575000000000001,6.165664409707001,114
59,18.285,10.374049404701578,114
60,27.555,13.402916388572654,114
61,35.235,13.944155578694923,114
62,20.445,9.861158906394337,114
63,16.695,8.85026425558249,113
64,29.970000000000002,15.006959154351394,114
65,42.54,15.803130680124662,114
66,25.995,10.567824251545181,114
67,42.225,18.28666550131267,114
68,34.86,13.142960276645594,114
69,32.505,14.414416307209793,114
70,24.044999999999998,11.449667897739847,114
71,30.255000000000003,14.38641093793982,114
72,45.27,19.100385555512283,114
73,28.08,12.701614171185351,114
74,24.6,12.756284834623505,114
75,30.705000000000002,14.122810763406159,110
76,37.05,14.096849588156319,111
77,26.91,12.161665810015304,111
78,30.87,15.907771543609494,111
79,32.955,16.205710595024257,111
80,41.175,18.295287408191324,111
81,34.185,16.453439488741946,110
82,36.18,20.762339123527518,110
83,34.425,21.565178089313424,107
84,44.97,24.42676291565924,105
85,36.135,20.0512092282496,104
86,33.21,17.860145358771515,105
87,46.050000000000004,18.950924603711258,107
88,37.2,20.833326586791106,108
89,34.65,21.020427580068212,108
90,39.315,18.582098896442144,108
91,42.825,17.60554435659884,109
92,35.49,17.850795243299682,109
93,36.975,17.537537770133376,109
94,39.66,19.952251264470412,109
95,38.685,14.0966880978432,109
96,28.605,14.419675579784835,109
97,31.08,16.736907366167138,109
98,27.69,16.663084132587755,109
99,29.79,13.448457228500798,109
100,27.405,15.020718613612063,109
101,31.38,15.58653962811454,109
102,29.4,15.284247976124943,109
103,43.635,17.216796506540366,109
104,36.54,19.722754663577692,109
105,22.455000000000002,13.67307480858476,110
106,29.745,13.629384157795029,110
107,30.54,15.117452021183462,110
108,31.86,18.082353841940648,110
109,33.42,17.330078368285882,110
110,33.06,14.539648061740145,110
111,32.505,18.138969778459177,110
112,25.32,15.394416496791164,110
113,17.61,9.725903553891998,110
114,33.705,13.286662490885078,110
115,19.425,10.41418239864585,110
116,15.33,8.760363474700473,110
117,15.18,9.38936477074101,110
118,25.65,10.721297603842764,110
119,12.765,7.006526672058641,110
120,6.705,5.61482559774054,110
121,2.07,3.6499428062377577,110
122,9.765,6.4148801551909855,110
123,8.49,6.409759059587765,110
124,6.3,4.917357109202276,110
125,12.225,6.740722664318405,110
126,12.615,5.447726472740717,110
127,11.04,4.673289680665541,110
128,12.225,7.175187545373881,110
129,9.569999999999999,7.803768841362209,110
130,4.77,4.387925209315579,110
131,5.745,4.874571787283652,110
132,2.52,3.903192781283252,110
133,4.05,2.4230409226190477,110
134,12.120000000000001,5.84017053100422,110
135,13.620000000000001,4.699118198110133,110
136,11.73,4.4085135314289445,110
137,5.355,2.765928270042194,110
138,5.985,2.31100569259962,110
139,3.375,4.782020700071073,110
140,2.34,4.614053254558326,110
141,4.5,4.0645025554081275,110
142,5.715,5.878851124092759,110
143,2.79,3.5653945210505205,110
144,9.495,4.797477678571428,110
145,4.905,2.4347826086956523,110
146,4.68,2.0010712035286704,110
147,13.23,4.968224577590665,110
148,4.005000000000001,2.031990225359761,110
149,1.8449999999999998,1.0373121131741823,110
150,6.48,4.002664938058196,110
151,7.98,6.248689595155601,110
152,5.58,4.585447771005635,110
153,4.2299999999999995,4.826794603699782,110
154,5.76,5.268598843292845,110
155,7.71,6.33257146613911,110
156,5.444999999999999,3.3501438806671366,110
157,6.3,2.412240408876237,110
158,7.38,2.6533503432355263,110
