tick,wind_speed_100m_ms
0,5.8
1,6.158333333333333
2,6.516666666666667
3,6.875
4,7.233333333333333
5,7.591666666666667
6,7.949999999999999
7,8.308333333333334
8,8.666666666666666
9,9.025
10,9.383333333333333
11,9.741666666666667
12,10.1
13,10.341666666666667
14,10.583333333333332
15,10.825
16,11.066666666666666
17,11.308333333333334
18,11.55
19,11.791666666666666
20,12.033333333333333
21,12.275
22,12.516666666666666
23,12.758333333333333
24,13.0
25,13.841666666666667
26,14.683333333333334
27,15.525
28,16.366666666666667
29,17.208333333333336
30,18.05
31,18.891666666666666
32,19.733333333333334
33,20.575000000000003
34,21.416666666666668
35,22.258333333333333
36,23.1
37,22.75
38,22.400000000000002
39,22.05
40,21.7
41,21.35
42,21.0
43,20.65
44,20.3
45,19.95
46,19.599999999999998
47,19.25
48,18.9
49,19.099999999999998
50,19.299999999999997
51,19.5
52,19.7
53,19.9
54,20.1
55,20.3
56,20.5
57,20.7
58,20.9
59,21.1
60,21.3
61,21.258333333333333
62,21.21666666666667
63,21.175
64,21.133333333333333
65,21.09166666666667
66,21.05
67,21.008333333333333
68,20.96666666666667
69,20.925
70,20.883333333333333
71,20.84166666666667
72,20.8
73,21.016666666666666
74,21.233333333333334
75,21.45
76,21.666666666666668
77,21.883333333333333
78,22.1
79,22.316666666666666
80,22.53333333333333
81,22.75
82,22.966666666666665
83,23.18333333333333
84,23.4
85,23.433333333333334
86,23.466666666666665
87,23.5
88,23.53333333333333
89,23.566666666666666
90,23.6
91,23.633333333333333
92,23.666666666666668
93,23.7
94,23.733333333333334
95,23.766666666666666
96,23.8
97,23.683333333333334
98,23.566666666666666
99,23.45
100,23.333333333333332
101,23.216666666666665
102,23.1
103,22.983333333333334
104,22.866666666666667
105,22.75
106,22.633333333333333
107,22.516666666666666
108,22.4
109,22.508333333333333
110,22.616666666666667
111,22.724999999999998
112,22.833333333333332
113,22.941666666666666
114,23.049999999999997
115,23.15833333333333
116,23.266666666666666
117,23.375
118,23.483333333333334
119,23.591666666666665
120,23.7
121,23.591666666666665
122,23.483333333333334
123,23.375
124,23.266666666666666
125,23.15833333333333
126,23.049999999999997
127,22.941666666666666
128,22.833333333333332
129,22.724999999999998
130,22.616666666666667
131,22.508333333333333
132,22.4
133,22.78333333333333
134,23.166666666666664
135,23.549999999999997
136,23.933333333333334
137,24.316666666666666
138,24.7
139,25.083333333333332
140,25.466666666666665
141,25.85
142,26.233333333333334
143,26.616666666666667
144,27.0
145,27.108333333333334
146,27.21666666666667
147,27.325
148,27.433333333333334
149,27.541666666666668
150,27.65
151,27.758333333333333
152,27.866666666666667
153,27.975
154,28.083333333333336
155,28.191666666666666
156,28.3
157,28.283333333333335
158,28.266666666666666
159,28.25
160,28.233333333333334
161,28.21666666666667
162,28.200000000000003
163,28.183333333333334
164,28.166666666666668
165,28.150000000000002
166,28.133333333333333
167,28.116666666666667
168,28.1
169,27.875
170,27.650000000000002
171,27.425
172,27.2
173,26.975
174,26.75
175,26.525
176,26.3
177,26.075
178,25.849999999999998
179,25.625
180,25.4
181,25.116666666666667
182,24.833333333333332
183,24.549999999999997
184,24.266666666666666
185,23.983333333333334
186,23.7
187,23.416666666666664
188,23.133333333333333
189,22.85
190,22.566666666666666
191,22.28333333333333
192,22.0
193,21.875
194,21.75
195,21.625
196,21.5
197,21.375
198,21.25
199,21.125
200,21.0
201,20.875
202,20.75
203,20.625
204,20.5
205,20.358333333333334
206,20.21666666666667
207,20.075
208,19.933333333333334
209,19.791666666666668
210,19.65
211,19.508333333333333
212,19.366666666666667
213,19.225
214,19.083333333333336
215,18.941666666666666
216,18.8
217,18.775000000000002
218,18.75
219,18.725
220,18.7
221,18.675
222,18.65
223,18.625
224,18.6
225,18.575
226,18.55
227,18.525
228,18.5
229,18.425
230,18.35
231,18.275
232,18.2
233,18.125
234,18.05
235,17.975
236,17.900000000000002
237,17.825000000000003
238,17.75
239,17.675
240,17.6
241,17.508333333333333
242,17.416666666666668
243,17.325000000000003
244,17.233333333333334
245,17.141666666666666
246,17.05
247,16.958333333333336
248,16.866666666666667
249,16.775
250,16.683333333333334
251,16.59166666666667
252,16.5
253,16.71666666666667
254,16.933333333333334
255,17.15
256,17.366666666666667
257,17.583333333333336
258,17.8
259,18.016666666666666
260,18.233333333333334
261,18.450000000000003
262,18.666666666666668
263,18.883333333333333
264,19.1
265,19.083333333333336
266,19.066666666666666
267,19.05
268,19.033333333333335
269,19.016666666666666
270,19.0
271,18.983333333333334
272,18.966666666666665
273,18.95
274,18.933333333333334
275,18.916666666666664
276,18.9
277,18.724999999999998
278,18.549999999999997
279,18.375
280,18.2
281,18.025
282,17.85
283,17.675
284,17.5
285,17.325
286,17.15
287,16.975
288,16.8
289,16.691666666666666
290,16.583333333333336
291,16.475
292,16.366666666666667
293,16.258333333333333
294,16.15
295,16.041666666666668
296,15.933333333333334
297,15.825
298,15.716666666666667
299,15.608333333333334
300,15.5
301,15.55
302,15.6
303,15.65
304,15.700000000000001
305,15.75
306,15.8
307,15.850000000000001
308,15.9
309,15.950000000000001
310,16.0
311,16.05
312,16.1
313,16.150000000000002
314,16.200000000000003
315,16.25
316,16.3
317,16.35
318,16.4
319,16.45
320,16.5
321,16.55
322,16.6
323,16.65
324,16.7
325,16.641666666666666
326,16.583333333333332
327,16.525
328,16.466666666666665
329,16.40833333333333
330,16.35
331,16.291666666666668
332,16.233333333333334
333,16.175
334,16.116666666666667
335,16.058333333333334
336,16.0
337,16.108333333333334
338,16.21666666666667
339,16.325
340,16.433333333333334
341,16.541666666666668
342,16.65
343,16.758333333333333
344,16.866666666666667
345,16.975
346,17.083333333333336
347,17.191666666666666
348,17.3
349,17.225
350,17.15
351,17.075
352,17.0
353,16.925
354,16.85
355,16.775
356,16.7
357,16.625
358,16.549999999999997
359,16.474999999999998
360,16.4
361,16.458333333333332
362,16.516666666666666
363,16.575
364,16.633333333333333
365,16.691666666666666
366,16.75
367,16.808333333333334
368,16.866666666666667
369,16.925
370,16.983333333333334
371,17.041666666666668
372,17.1
373,17.225
374,17.35
375,17.475
376,17.6
377,17.725
378,17.85
379,17.975
380,18.1
381,18.225
382,18.35
383,18.475
384,18.6
385,18.6
386,18.6
387,18.6
388,18.6
389,18.6
390,18.6
391,18.6
392,18.6
393,18.6
394,18.6
395,18.6
396,18.6
397,18.64166666666667
398,18.683333333333334
399,18.725
400,18.76666666666667
401,18.808333333333334
402,18.85
403,18.89166666666667
404,18.933333333333334
405,18.975
406,19.01666666666667
407,19.058333333333334
408,19.1
409,19.541666666666668
410,19.983333333333334
411,20.425
412,20.866666666666667
413,21.308333333333334
414,21.75
415,22.191666666666666
416,22.633333333333333
417,23.075
418,23.516666666666666
419,23.958333333333332
420,24.4
421,24.341666666666665
422,24.28333333333333
423,24.224999999999998
424,24.166666666666664
425,24.10833333333333
426,24.049999999999997
427,23.991666666666667
428,23.933333333333334
429,23.875
430,23.816666666666666
431,23.758333333333333
432,23.7
433,23.541666666666664
434,23.383333333333333
435,23.225
