tick,ghi_wm2
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,1.25
158,2.5
159,3.75
160,5.0
161,6.25
162,7.5
163,8.75
164,10.0
165,11.25
166,12.5
167,13.75
168,15.0
169,16.5
170,18.0
171,19.5
172,21.0
173,22.5
174,24.0
175,25.5
176,27.0
177,28.5
178,30.0
179,31.5
180,33.0
181,34.833333333333336
182,36.666666666666664
183,38.5
184,40.333333333333336
185,42.166666666666664
186,44.0
187,45.83333333333333
188,47.666666666666664
189,49.5
190,51.33333333333333
191,53.166666666666664
192,55.0
193,55.083333333333336
194,55.166666666666664
195,55.25
196,55.333333333333336
197,55.416666666666664
198,55.5
199,55.583333333333336
200,55.666666666666664
201,55.75
202,55.833333333333336
203,55.916666666666664
204,56.0
205,57.083333333333336
206,58.166666666666664
207,59.25
208,60.333333333333336
209,61.416666666666664
210,62.5
211,63.583333333333336
212,64.66666666666667
213,65.75
214,66.83333333333333
215,67.91666666666667
216,69.0
217,70.0
218,71.0
219,72.0
220,73.0
221,74.0
222,75.0
223,76.0
224,77.0
225,78.0
226,79.0
227,80.0
228,81.0
229,78.0
230,75.0
231,72.0
232,69.0
233,66.0
234,63.0
235,60.0
236,57.0
237,54.0
238,51.0
239,48.0
240,45.0
241,45.25
242,45.5
243,45.75
244,46.0
245,46.25
246,46.5
247,46.75
248,47.0
249,47.25
250,47.5
251,47.75
252,48.0
253,44.25
254,40.5
255,36.75
256,33.0
257,29.25
258,25.5
259,21.75
260,18.0
261,14.25
262,10.5
263,6.75
264,3.0
265,2.75
266,2.5
267,2.25
268,2.0
269,1.75
270,1.5
271,1.25
272,1.0
273,0.75
274,0.5
275,0.25
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.08333333333333333
434,0.16666666666666666
435,0.25
436,0.3333333333333333
437,0.41666666666666663
438,0.5
439,0.5833333333333333
440,0.6666666666666666
441,0.75
442,0.8333333333333333
443,0.9166666666666666
444,1.0
445,4.0
446,7.0
447,10.0
448,13.0
449,16.0
450,19.0
451,22.0
452,25.0
453,28.0
454,31.0
455,34.0
456,37.0
457,40.583333333333336
458,44.166666666666664
459,47.75
460,51.333333333333336
461,54.91666666666667
462,58.5
463,62.083333333333336
464,65.66666666666667
465,69.25
466,72.83333333333334
467,76.41666666666667
468,80.0
469,79.91666666666667
470,79.83333333333333
471,79.75
472,79.66666666666667
473,79.58333333333333
474,79.5
475,79.41666666666667
476,79.33333333333333
477,79.25
478,79.16666666666667
479,79.08333333333333
480,79.0
481,80.5
482,82.0
483,83.5
484,85.0
485,86.5
486,88.0
487,89.5
488,91.0
489,92.5
490,94.0
491,95.5
492,97.0
493,106.83333333333333
494,116.66666666666667
495,126.5
496,136.33333333333334
497,146.16666666666669
498,156.0
499,165.83333333333334
500,175.66666666666669
501,185.5
502,195.33333333333334
503,205.16666666666669
504,215.0
505,207.75
506,200.5
507,193.25
508,186.0
509,178.75
510,171.5
511,164.25
512,157.0
513,149.75
514,142.5
515,135.25
516,128.0
517,124.75
518,121.5
519,118.25
520,115.0
521,111.75
522,108.5
523,105.25
524,102.0
525,98.75
526,95.5
527,92.25
528,89.0
529,87.16666666666667
530,85.33333333333333
