scenario,agent,n_episodes,wall_time_s,mean_reward,total_reward,bid_acceptance_rate,total_reg_revenue,total_elec_cost,mean_perf_score,mean_committed_mw,tracking_rmse,temp_A_max,temp_B_max,episode_length,mean_flex_kw,mean_bess_kw,mean_cool_delta_kw,mean_p_pump_mw,mean_p_hvac_mw,survival_rate,mean_reward_std,total_reward_std,bid_acceptance_rate_std,total_reg_revenue_std,total_elec_cost_std,mean_perf_score_std,mean_committed_mw_std,tracking_rmse_std,temp_A_max_std,temp_B_max_std,episode_length_std,mean_flex_kw_std,mean_bess_kw_std,mean_cool_delta_kw_std,mean_p_pump_mw_std,mean_p_hvac_mw_std
default,rule_macro,5,9.64,0.6717,64.4828,0.6438,5301.8699,246.8923,0.8089,11.4375,2697.1985,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0332,3.1864,0.0413,332.7242,0.0,0.0159,0.4127,204.3327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+rule_based,5,10.22,0.9323,89.505,0.6438,6255.0484,247.4994,0.9361,11.4375,648.2799,30.5815,29.9481,96.0,29.1611,-100.3094,-256.3408,1.0556,35.188,1.0,0.0241,2.3175,0.0413,385.5909,0.6271,0.0095,0.4127,182.4019,0.0039,0.0,0.0,5.1367,117.7494,200.0502,0.0058,0.1942
default,rule_macro+pid,5,11.05,0.9317,89.4478,0.6438,6265.6182,247.0794,0.9409,11.4375,641.388,30.5808,29.9481,96.0,29.7271,-62.8904,-389.5168,1.0518,35.0587,1.0,0.025,2.3953,0.0413,362.6262,0.7723,0.0031,0.4127,99.9014,0.0037,0.0,0.0,31.6535,147.355,251.6902,0.0073,0.2444
default,rule_macro+bang_bang,5,10.03,0.7638,73.3258,0.6438,6078.1184,247.1448,0.8765,11.4375,1265.9327,30.5801,29.9481,96.0,321.9808,-79.1808,-369.5942,1.0523,35.0781,1.0,0.0479,4.5964,0.0413,348.0565,1.0502,0.0113,0.4127,71.3068,0.0189,0.0,0.0,51.0573,144.5608,331.0514,0.0096,0.3214
default,rule_macro,5,9.92,0.6717,64.4828,0.6438,5301.8699,246.8923,0.8089,11.4375,2697.1985,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0332,3.1864,0.0413,332.7242,0.0,0.0159,0.4127,204.3327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,rule_macro+sac,5,44.89,0.8407,80.7114,0.6438,5669.7959,247.0723,0.9078,11.4375,1914.4154,30.8033,29.9526,96.0,356.3597,-291.5332,-398.9359,0.7397,35.3614,1.0,0.0131,1.2571,0.0413,325.2777,0.437,0.0072,0.4127,120.8023,0.0199,0.0,0.0,1.681,0.507,142.8991,0.0039,0.14

default,random_macro,5,10.38,0.5993,57.5302,0.1021,1188.5253,246.8923,0.8023,5.9409,1538.3801,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0349,3.3472,0.0393,379.3519,0.0,0.0172,0.5203,331.7087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+sac,5,45.01,0.6938,66.6072,0.0979,1559.321,248.9353,0.8885,6.1654,1317.5186,31.1482,29.9479,96.0,450.5312,92.9619,208.0974,0.7458,35.9623,1.0,0.1408,13.5121,0.0439,598.1489,1.4594,0.0567,0.7345,936.6651,0.1544,0.0,0.0,103.7782,40.7794,484.294,0.0447,0.454
default,random_macro,5,9.17,0.565,54.2365,0.1146,1110.4072,246.8923,0.7962,5.7132,1412.7029,30.5818,29.9481,96.0,0.0,0.0,-450.0006,1.05,35.0,1.0,0.0652,6.2557,0.0244,118.0473,0.0,0.0209,0.147,210.2721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
default,random_macro+rule_based,5,9.9,0.7935,76.1763,0.125,1399.6315,247.1632,0.9002,5.8996,502.6449,30.5819,29.9481,96.0,7.4625,-111.6919,-361.9593,1.0526,35.0855,1.0,0.0263,2.5203,0.039,293.6593,0.227,0.0104,0.3843,48.874,0.0003,0.0,0.0,1.8951,73.1883,76.815,0.0022,0.0746
default,random_macro+pid,5,10.67,0.812,77.9543,0.1021,1287.2362,246.8883,0.9106,5.8428,490.8302,30.5818,29.9481,96.0,5.8547,-67.8016,-452.8346,1.0499,34.9972,1.0,0.0112,1.0709,0.028,271.4886,0.1996,0.0065,0.4199,62.861,0.0,0.0,0.0,10.9176,113.859,66.7283,0.0019,0.0648
default,random_macro+bang_bang,5,10.17,0.4892,46.9649,0.1021,1309.3089,246.8984,0.7761,5.9184,1385.3895,30.5778,29.9481,96.0,407.7606,-80.6763,-440.9105,1.0503,35.0088,1.0,0.0385,3.6968,0.0136,205.7238,0.591,0.0083,0.2585,79.8096,0.0231,0.0,0.0,43.9275,142.7479,177.7199,0.0052,0.1725

