Time Stamp,Load
2023-01-01 00:00:00,927.3311
2023-01-01 00:05:00,922.3586
2023-01-01 00:10:00,916.4524
2023-01-01 00:15:00,914.2347
2023-01-01 00:20:00,910.2398
2023-01-01 00:25:00,906.2974
2023-01-01 00:30:00,907.8402
2023-01-01 00:35:00,901.3696
2023-01-01 00:40:00,904.7219
2023-01-01 00:45:00,905.5167
2023-01-01 00:50:00,900.4407
2023-01-01 00:55:00,893.9245
2023-01-01 01:00:00,880.2734
2023-01-01 01:05:00,892.2976
2023-01-01 01:10:00,887.1169
2023-01-01 01:15:00,885.1976
2023-01-01 01:20:00,882.6768
2023-01-01 01:25:00,883.9403
2023-01-01 01:30:00,877.9321
2023-01-01 01:35:00,883.6711
2023-01-01 01:40:00,865.877
2023-01-01 01:45:00,874.1782
2023-01-01 01:50:00,875.7634
2023-01-01 01:55:00,868.5788
2023-01-01 02:00:00,868.3221
2023-01-01 02:05:00,867.3826
2023-01-01 02:10:00,868.0889
2023-01-01 02:15:00,866.4114
2023-01-01 02:20:00,863.1138
2023-01-01 02:25:00,865.3364
2023-01-01 02:30:00,860.3887
2023-01-01 02:35:00,861.8613
2023-01-01 02:40:00,850.3427
2023-01-01 02:45:00,855.6844
2023-01-01 02:50:00,854.4974
2023-01-01 02:55:00,852.5318
2023-01-01 03:00:00,851.1521
2023-01-01 03:05:00,851.4508
2023-01-01 03:10:00,848.2532
2023-01-01 03:15:00,851.3647
2023-01-01 03:20:00,844.8104
2023-01-01 03:25:00,850.1345
2023-01-01 03:30:00,849.772
2023-01-01 03:35:00,845.3684
2023-01-01 03:40:00,847.7125
2023-01-01 03:45:00,849.8236
2023-01-01 03:50:00,845.1548
2023-01-01 03:55:00,845.1077
2023-01-01 04:00:00,846.4866
2023-01-01 04:05:00,843.8646
2023-01-01 04:10:00,849.9895
2023-01-01 04:15:00,848.0634
2023-01-01 04:20:00,844.5856
2023-01-01 04:25:00,847.6622
2023-01-01 04:30:00,844.7697
2023-01-01 04:35:00,843.4041
2023-01-01 04:40:00,841.4421
2023-01-01 04:45:00,845.9419
2023-01-01 04:50:00,850.6771
2023-01-01 04:55:00,844.1992
2023-01-01 05:00:00,855.2103
2023-01-01 05:05:00,848.7177
2023-01-01 05:10:00,854.1145
2023-01-01 05:15:00,856.7712
2023-01-01 05:20:00,857.5037
2023-01-01 05:25:00,860.9191
2023-01-01 05:30:00,865.3175
2023-01-01 05:35:00,859.7769
2023-01-01 05:40:00,867.9563
2023-01-01 05:45:00,865.7792
2023-01-01 05:50:00,867.0324
2023-01-01 05:55:00,866.1555
2023-01-01 06:00:00,866.3442
2023-01-01 06:05:00,871.3329
2023-01-01 06:10:00,879.8297
2023-01-01 06:15:00,876.678
2023-01-01 06:20:00,878.6425
2023-01-01 06:25:00,881.7025
2023-01-01 06:30:00,889.7449
2023-01-01 06:35:00,886.3608
2023-01-01 06:40:00,894.167
2023-01-01 06:45:00,891.235
2023-01-01 06:50:00,892.197
2023-01-01 06:55:00,896.2925
2023-01-01 07:00:00,895.5469
2023-01-01 07:05:00,900.7925
2023-01-01 07:10:00,904.6383
2023-01-01 07:15:00,911.7146
2023-01-01 07:20:00,915.5079
2023-01-01 07:25:00,909.6196
2023-01-01 07:30:00,915.6339
2023-01-01 07:35:00,914.3518
2023-01-01 07:40:00,925.0684
2023-01-01 07:45:00,925.1907
2023-01-01 07:50:00,918.489
2023-01-01 07:55:00,929.3633
2023-01-01 08:00:00,924.1294
2023-01-01 08:05:00,933.4944
2023-01-01 08:10:00,932.5841
2023-01-01 08:15:00,931.2763
2023-01-01 08:20:00,927.4455
2023-01-01 08:25:00,926.6885
2023-01-01 08:30:00,939.3195
2023-01-01 08:35:00,933.5228
2023-01-01 08:40:00,937.9797
2023-01-01 08:45:00,935.5088
2023-01-01 08:50:00,939.748
2023-01-01 08:55:00,946.6514
2023-01-01 09:00:00,948.4092
2023-01-01 09:05:00,950.6088
2023-01-01 09:10:00,954.7046
2023-01-01 09:15:00,960.3291
2023-01-01 09:20:00,955.5486
2023-01-01 09:25:00,956.438
2023-01-01 09:30:00,954.6678
2023-01-01 09:35:00,960.6876
2023-01-01 09:40:00,955.8719
2023-01-01 09:45:00,959.948
2023-01-01 09:50:00,960.764
2023-01-01 09:55:00,953.2291
2023-01-01 10:00:00,952.7674
2023-01-01 10:05:00,959.193
2023-01-01 10:10:00,958.5297
2023-01-01 10:15:00,949.8671
2023-01-01 10:20:00,956.2175
2023-01-01 10:25:00,957.29
2023-01-01 10:30:00,966.932
2023-01-01 10:35:00,952.3548
2023-01-01 10:40:00,953.9571
2023-01-01 10:45:00,944.8057
2023-01-01 10:50:00,953.5695
2023-01-01 10:55:00,954.0579
2023-01-01 11:00:00,965.555
2023-01-01 11:05:00,957.5824
2023-01-01 11:10:00,969.2033
2023-01-01 11:15:00,988.4216
2023-01-01 11:20:00,989.4169
2023-01-01 11:25:00,991.0908
2023-01-01 11:30:00,1003.475
2023-01-01 11:35:00,1007.1749
2023-01-01 11:40:00,1007.2772
2023-01-01 11:45:00,1014.5339
2023-01-01 11:50:00,1015.4966
2023-01-01 11:55:00,1028.2645
2023-01-01 12:00:00,1019.6588
2023-01-01 12:05:00,1026.0914
2023-01-01 12:10:00,1029.8921
2023-01-01 12:15:00,1032.8098
2023-01-01 12:20:00,1038.4518
2023-01-01 12:25:00,1032.7856
2023-01-01 12:30:00,1034.3523
2023-01-01 12:35:00,1018.1195
2023-01-01 12:40:00,1026.004
2023-01-01 12:45:00,1031.2827
2023-01-01 12:50:00,1035.6703
2023-01-01 12:55:00,1026.6685
2023-01-01 13:00:00,1023.4878
2023-01-01 13:05:00,1022.3508
2023-01-01 13:10:00,1018.1958
2023-01-01 13:15:00,1017.3497
2023-01-01 13:20:00,1022.485
2023-01-01 13:25:00,1025.0289
2023-01-01 13:30:00,1027.2008
2023-01-01 13:35:00,1017.5907
2023-01-01 13:40:00,1020.2431
2023-01-01 13:45:00,1024.0879
2023-01-01 13:50:00,1024.6406
2023-01-01 13:55:00,1020.0523
2023-01-01 14:00:00,1020.1638
2023-01-01 14:05:00,1014.9694
2023-01-01 14:10:00,1030.5525
2023-01-01 14:15:00,1036.1764
2023-01-01 14:20:00,1034.3589
2023-01-01 14:25:00,1032.3866
2023-01-01 14:30:00,1044.2473
2023-01-01 14:35:00,1045.4207
2023-01-01 14:40:00,1034.8112
2023-01-01 14:45:00,1025.1982
2023-01-01 14:50:00,1028.9707
2023-01-01 14:55:00,1022.9385
2023-01-01 15:00:00,1030.4299
2023-01-01 15:05:00,1037.2297
2023-01-01 15:10:00,1040.5214
2023-01-01 15:15:00,1036.2368
2023-01-01 15:20:00,1041.5867
2023-01-01 15:25:00,1040.5017
2023-01-01 15:30:00,1052.5427
2023-01-01 15:35:00,1055.6868
2023-01-01 15:40:00,1059.718
2023-01-01 15:45:00,1063.8018
2023-01-01 15:50:00,1065.6139
2023-01-01 15:55:00,1065.0844
2023-01-01 16:00:00,1070.6942
2023-01-01 16:05:00,1074.1588
2023-01-01 16:10:00,1082.377
2023-01-01 16:15:00,1079.1497
2023-01-01 16:20:00,1091.6992
2023-01-01 16:25:00,1101.8384
2023-01-01 16:30:00,1101.8604
2023-01-01 16:35:00,1108.6478
2023-01-01 16:40:00,1119.3567
2023-01-01 16:45:00,1123.3223
2023-01-01 16:50:00,1130.8032
2023-01-01 16:55:00,1138.9202
2023-01-01 17:00:00,1144.8436
2023-01-01 17:05:00,1152.262
2023-01-01 17:10:00,1145.9784
2023-01-01 17:15:00,1142.8301
2023-01-01 17:20:00,1143.2802
2023-01-01 17:25:00,1153.1191
2023-01-01 17:30:00,1152.6226
2023-01-01 17:35:00,1148.5459
2023-01-01 17:40:00,1149.8813
2023-01-01 17:45:00,1153.0254
2023-01-01 17:50:00,1152.4067
2023-01-01 17:55:00,1149.8198
2023-01-01 18:00:00,1146.284
2023-01-01 18:05:00,1146.044
2023-01-01 18:10:00,1144.366
2023-01-01 18:15:00,1142.8235
2023-01-01 18:20:00,1139.3455
2023-01-01 18:25:00,1143.698
2023-01-01 18:30:00,1135.0295
2023-01-01 18:35:00,1130.0115
2023-01-01 18:40:00,1125.3784
2023-01-01 18:45:00,1126.3721
2023-01-01 18:50:00,1125.9231
2023-01-01 18:55:00,1123.4326
2023-01-01 19:00:00,1123.5232
2023-01-01 19:05:00,1114.3347
2023-01-01 19:10:00,1116.0958
2023-01-01 19:15:00,1117.1614
2023-01-01 19:20:00,1111.0773
2023-01-01 19:25:00,1110.011
2023-01-01 19:30:00,1112.3625
2023-01-01 19:35:00,1106.3004
2023-01-01 19:40:00,1112.4185
2023-01-01 19:45:00,1094.7587
2023-01-01 19:50:00,1091.0829
2023-01-01 19:55:00,1099.0145
2023-01-01 20:00:00,1091.154
2023-01-01 20:05:00,1090.1233
2023-01-01 20:10:00,1090.9385
2023-01-01 20:15:00,1083.1984
2023-01-01 20:20:00,1084.4799
2023-01-01 20:25:00,1073.7701
2023-01-01 20:30:00,1082.5271
2023-01-01 20:35:00,1078.9047
2023-01-01 20:40:00,1074.9519
2023-01-01 20:45:00,1066.5411
2023-01-01 20:50:00,1066.4272
2023-01-01 20:55:00,1061.7528
2023-01-01 21:00:00,1052.6165
2023-01-01 21:05:00,1055.0446
2023-01-01 21:10:00,1044.2701
2023-01-01 21:15:00,1042.1438
2023-01-01 21:20:00,1043.8708
2023-01-01 21:25:00,1040.3174
2023-01-01 21:30:00,1035.2849
2023-01-01 21:35:00,1033.9536
2023-01-01 21:40:00,1025.9116
2023-01-01 21:45:00,1028.2507
2023-01-01 21:50:00,1025.8247
2023-01-01 21:55:00,1020.6777
2023-01-01 22:00:00,1010.8658
2023-01-01 22:05:00,1010.0718
2023-01-01 22:10:00,1004.0078
2023-01-01 22:15:00,1002.637
2023-01-01 22:20:00,987.7063
2023-01-01 22:25:00,991.8874
2023-01-01 22:30:00,977.9046
2023-01-01 22:35:00,982.8472
2023-01-01 22:40:00,978.768
2023-01-01 22:45:00,973.493
2023-01-01 22:50:00,977.0378
2023-01-01 22:55:00,962.9949
2023-01-01 23:00:00,962.1151
2023-01-01 23:05:00,951.0726
2023-01-01 23:10:00,954.3275
2023-01-01 23:15:00,947.4302
2023-01-01 23:20:00,947.2465
2023-01-01 23:25:00,947.5347
2023-01-01 23:30:00,946.2675
2023-01-01 23:35:00,939.9957
2023-01-01 23:40:00,940.9022
2023-01-01 23:45:00,941.4153
2023-01-01 23:50:00,932.5465
2023-01-01 23:55:00,936.4843
2023-01-02 00:00:00,934.5448
2023-01-02 00:05:00,926.8889
2023-01-02 00:10:00,919.4403
2023-01-02 00:15:00,920.7791
2023-01-02 00:20:00,913.6848
2023-01-02 00:25:00,913.7567
2023-01-02 00:30:00,912.1282
2023-01-02 00:35:00,908.8287
2023-01-02 00:40:00,900.1926
2023-01-02 00:45:00,901.2571
2023-01-02 00:50:00,902.9594
2023-01-02 00:55:00,901.7341
2023-01-02 01:00:00,895.2872
2023-01-02 01:05:00,891.2676
2023-01-02 01:10:00,889.7651
2023-01-02 01:15:00,885.6233
2023-01-02 01:20:00,888.4253
2023-01-02 01:25:00,885.6782
2023-01-02 01:30:00,882.0105
2023-01-02 01:35:00,875.896
2023-01-02 01:40:00,876.5288
2023-01-02 01:45:00,870.015
2023-01-02 01:50:00,877.4755
2023-01-02 01:55:00,871.2532
2023-01-02 02:00:00,865.484
2023-01-02 02:05:00,874.4974
2023-01-02 02:10:00,871.507
2023-01-02 02:15:00,871.8471
2023-01-02 02:20:00,874.2179
2023-01-02 02:25:00,865.8124
2023-01-02 02:30:00,865.4779
2023-01-02 02:35:00,866.1588
2023-01-02 02:40:00,865.2013
2023-01-02 02:45:00,864.6737
2023-01-02 02:50:00,865.6201
2023-01-02 02:55:00,864.8279
2023-01-02 03:00:00,865.3922
2023-01-02 03:05:00,858.8691
2023-01-02 03:10:00,863.0852
2023-01-02 03:15:00,861.6316
2023-01-02 03:20:00,863.8378
2023-01-02 03:25:00,861.5444
2023-01-02 03:30:00,863.1327
2023-01-02 03:35:00,866.3462
2023-01-02 03:40:00,862.288
2023-01-02 03:45:00,862.463
2023-01-02 03:50:00,872.2151
