timestep,episode,env_idx,ep/mean_reward,ep/total_reward,ep/length,ep/survived,thermal/mean_temp_A,thermal/mean_temp_B,thermal/max_temp_A,thermal/max_temp_B,thermal/viol_rate,thermal/terminated,bess/mean_soc,bess/min_soc,bess/mean_dispatch_kw,grid/tracking_rmse_kw,grid/mean_lmp,grid/spike_fraction,facility/mean_pue,facility/mean_p_facility_mw,facility/mean_flex_reduction_kw
17280,1,0,-0.0745217699455612,-1287.7361846592976,17280.0,1.0,30.41373114661457,20.55804068370262,30.815306634879594,29.99567048745998,0.0,0.0,0.6213578345130307,0.41419752093309226,2226.4448089800662,8902.530147189884,31.872428127812505,0.25,2.6140837507178847,80.78159534484489,1958.6677126672946
34560,2,0,0.7013798855795788,12119.84442281512,17280.0,1.0,30.49730454477886,20.530413776487013,30.873686747875098,29.94629253420974,0.0,0.0,0.4781421633881067,0.10507900020010766,1727.6222149368195,1536.5051814487647,31.872428127812505,0.25,2.6259760040643463,81.07528610021205,467.616962991637
51840,3,0,0.7702723987651687,13310.307050662115,17280.0,1.0,30.471957431177536,20.523467517486406,30.846339040654573,29.94769954737152,0.0,0.0,0.5444315073946969,0.28739040789408304,1641.3384554390277,1372.2409294917713,31.872428127812505,0.25,2.652054717697901,81.8304867039003,484.4200310126089
69120,4,0,0.766890613434023,13251.869800139917,17280.0,1.0,30.443970362950765,20.5273505271848,30.743020769328176,29.947497133285914,0.0,0.0,0.615617982030758,0.2694897376854879,1652.7763866712648,1319.6731995987795,31.872428127812505,0.25,2.646913024912379,81.64555226797928,469.17921394195974
86400,5,0,0.7832556960137346,13534.658427117334,17280.0,1.0,30.465459159092184,20.53138100799202,30.889536811148766,29.947621331141278,0.0,0.0,0.4664801275336816,0.235302518276155,1499.7701360844076,1256.6575656447833,31.872428127812505,0.25,2.6282719639680856,81.12409112534598,511.6871187054037
103680,6,0,0.781020112140538,13496.027537788497,17280.0,1.0,30.457963095959105,20.530953976879694,30.783665394168736,29.94867146804094,0.0,0.0,0.5074209633678796,0.16428639782084156,1531.5843538293184,1241.033532219366,31.872428127812505,0.25,2.6212546193653736,80.91751180929927,489.83848985044943
120960,7,0,0.7816977770391935,13507.737587237265,17280.0,1.0,30.40917911104839,20.5227736875801,30.696912351580597,29.947901625673254,0.0,0.0,0.5475197733228918,0.26540731706057125,1483.1335297268297,1242.1070387408522,31.872428127812505,0.25,2.6566834731331523,82.01721793354405,519.0192264559123
138240,8,0,0.7860625096944945,13583.160167520866,17280.0,1.0,30.416588742530802,20.52914889583833,30.822561080911928,29.94779670144512,0.0,0.0,0.5242254622345907,0.19651246820329415,1548.0439934037659,1169.0613419950303,31.872428127812505,0.25,2.6521302314312623,81.83694086164176,517.8114461030076
155520,9,0,0.7783502948302932,13449.893094667466,17280.0,1.0,30.404028017521355,20.527398625505654,30.91831693875787,29.948257245975068,0.0,0.0,0.5141298751641483,0.2260411767242805,1519.2918155894235,1186.2730110501875,31.872428127812505,0.25,2.6577477049764773,82.00691411419419,541.546813871994
172800,10,0,0.7873006754274583,13604.555671386479,17280.0,1.0,30.385847105182393,20.519976037824097,30.683647337486498,29.948932305059007,0.0,0.0,0.5667466117521361,0.41968608207878505,1265.0905362916765,1252.6460609549117,31.872428127812505,0.25,2.6613751236823093,82.12370888128513,486.13716239486024
